question_id,topic,asset_id,asset_file,semantic_match,audit_status,priority,reference_url,open_issues,question_text,what_missing,required_change
TX-SIG-0001,SIGNS,MUTCD_R1-1_STOP,app/src/main/assets/svg/MUTCD_R1-1_STOP.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#106,What shape is a STOP sign?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0002,SIGNS,MUTCD_R1-2_YIELD,app/src/main/assets/svg/MUTCD_R1-2_YIELD.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#107,What does a YIELD sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0003,SIGNS,MUTCD_R1-2_YIELD,app/src/main/assets/svg/MUTCD_R1-2_YIELD.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#107,What is the shape of a YIELD sign?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0004,SIGNS,MUTCD_R2-1_SPEED_LIMIT_65,app/src/main/assets/svg/MUTCD_R2-1_SPEED_LIMIT_65.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#112,What does this speed limit sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0005,SIGNS,MUTCD_R5-1_DO_NOT_ENTER,app/src/main/assets/svg/MUTCD_R5-1_DO_NOT_ENTER.svg,PASS,BLOCK,P1,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#76,What must you do when you see a DO NOT ENTER sign?,DO NOT ENTER sign still needs canonical text/bar layout validation at 48dp.,Align with MUTCD R5-1 canonical layout and re-attach 96dp/48dp evidence.
TX-SIG-0006,SIGNS,MUTCD_R5-1a_WRONG_WAY,app/src/main/assets/svg/MUTCD_R5-1a_WRONG_WAY.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#119,"If you see a WRONG WAY sign, you should:",Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0007,SIGNS,MUTCD_R3-1_NO_LEFT_TURN,app/src/main/assets/svg/MUTCD_R3-1_NO_LEFT_TURN.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#114,What does a NO LEFT TURN sign prohibit?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0008,SIGNS,MUTCD_R3-2_NO_RIGHT_TURN,app/src/main/assets/svg/MUTCD_R3-2_NO_RIGHT_TURN.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#115,"When you see a NO RIGHT TURN sign at an intersection, you must:",Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0009,SIGNS,MUTCD_R3-3_NO_U_TURN,app/src/main/assets/svg/MUTCD_R3-3_NO_U_TURN.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#116,What does a NO U-TURN sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0010,SIGNS,MUTCD_R8-3a_NO_PARKING_ANYTIME,app/src/main/assets/svg/MUTCD_R8-3a_NO_PARKING_ANYTIME.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#123,What does a NO PARKING ANYTIME sign mean?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0011,SIGNS,MUTCD_R10-6_ONE_WAY,app/src/main/assets/svg/MUTCD_R10-6_ONE_WAY.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#108,"When you see a ONE WAY sign, you must:",Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0012,SIGNS,MUTCD_R10-7_DO_NOT_PASS,app/src/main/assets/svg/MUTCD_R10-7_DO_NOT_PASS.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#109,What does a DO NOT PASS sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0013,SIGNS,MUTCD_R15-1_RAILROAD_CROSSING,app/src/main/assets/svg/MUTCD_R15-1_RAILROAD_CROSSING.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#110,What does this sign indicate about railroad crossings?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0014,SIGNS,MUTCD_R3-4_NO_TRUCKS,app/src/main/assets/svg/MUTCD_R3-4_NO_TRUCKS.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#117,What does a NO TRUCKS sign typically prohibit?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0015,SIGNS,MUTCD_R4-7_KEEP_RIGHT,app/src/main/assets/svg/MUTCD_R4-7_KEEP_RIGHT.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#118,What does a KEEP RIGHT sign require you to do?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0016,SIGNS,MUTCD_R6-1_LEFT_TURN_ONLY,app/src/main/assets/svg/MUTCD_R6-1_LEFT_TURN_ONLY.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#120,What does a LEFT TURN ONLY sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0017,SIGNS,MUTCD_R6-2_RIGHT_TURN_ONLY,app/src/main/assets/svg/MUTCD_R6-2_RIGHT_TURN_ONLY.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#121,"If you are in a lane marked with a RIGHT TURN ONLY sign, you must:",Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0018,SIGNS,MUTCD_R7-107_HANDICAPPED_PARKING,app/src/main/assets/svg/MUTCD_R7-107_HANDICAPPED_PARKING.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#122,What is the penalty for parking in a space marked with a HANDICAPPED PARKING sign without proper authorization?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0021,SIGNS,MUTCD_R2-1_SPEED_LIMIT_70,app/src/main/assets/svg/MUTCD_R2-1_SPEED_LIMIT_70.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#113,"If a speed limit sign shows 70 mph, but weather conditions are poor, you should:",Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0022,SIGNS,MUTCD_S4-3_SCHOOL_SPEED_LIMIT_20,app/src/main/assets/svg/MUTCD_S4-3_SCHOOL_SPEED_LIMIT_20.svg,PASS,BLOCK,P0,https://mutcd.fhwa.dot.gov/htm/2009/part7/part7b.htm,#75,What is the typical speed limit in school zones when children are present?,Bottom text legibility fails at 48dp (school speed limit sign).,Increase lower text readability and verify 48dp render with no clipping.
TX-SIG-0025,SIGNS,MUTCD_R7-8_NO_PARKING,app/src/main/assets/svg/MUTCD_R7-8_NO_PARKING.svg,PASS,BLOCK,P1,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#77,Where are you most likely to see a NO PARKING sign?,NO PARKING lower text readability is weak at 48dp.,Adjust typography/layout to preserve legibility at thumbnail size.
TX-SIG-0027,SIGNS,MUTCD_R2-1_SPEED_LIMIT_30,app/src/main/assets/svg/MUTCD_R2-1_SPEED_LIMIT_30.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2b.htm,#111,A residential street with a speed limit of 30 mph means:,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0033,SIGNS,MUTCD_W1-1_CURVE_RIGHT,app/src/main/assets/svg/MUTCD_W1-1_CURVE_RIGHT.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#125,What does a CURVE RIGHT warning sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0034,SIGNS,MUTCD_W1-2_CURVE_LEFT,app/src/main/assets/svg/MUTCD_W1-2_CURVE_LEFT.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#126,"When you see a CURVE LEFT sign, you should:",Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0035,SIGNS,MUTCD_W1-6_WINDING_ROAD,app/src/main/assets/svg/MUTCD_W1-6_WINDING_ROAD.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#127,What does a WINDING ROAD sign warn you about?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0036,SIGNS,MUTCD_W2-1_SIDE_ROAD,app/src/main/assets/svg/MUTCD_W2-1_SIDE_ROAD.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#133,What does a SIDE ROAD warning sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0037,SIGNS,MUTCD_W2-2_Y_INTERSECTION,app/src/main/assets/svg/MUTCD_W2-2_Y_INTERSECTION.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#134,What type of intersection does a Y-INTERSECTION warning sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0038,SIGNS,MUTCD_W2-3_T_INTERSECTION,app/src/main/assets/svg/MUTCD_W2-3_T_INTERSECTION.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#135,A T-INTERSECTION warning sign means:,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0039,SIGNS,MUTCD_W3-1_MERGE,app/src/main/assets/svg/MUTCD_W3-1_MERGE.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#138,What does a MERGE warning sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0040,SIGNS,MUTCD_W4-2_LANE_ENDS_MERGE,app/src/main/assets/svg/MUTCD_W4-2_LANE_ENDS_MERGE.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#139,A LANE ENDS MERGE sign indicates:,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0041,SIGNS,MUTCD_W8-1_HILL,app/src/main/assets/svg/MUTCD_W8-1_HILL.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#140,What does a HILL warning sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0042,SIGNS,MUTCD_W11-1_PEDESTRIAN_CROSSING,app/src/main/assets/svg/MUTCD_W11-1_PEDESTRIAN_CROSSING.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#128,What does a PEDESTRIAN CROSSING warning sign mean?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0043,SIGNS,MUTCD_W11-2_BICYCLE_CROSSING,app/src/main/assets/svg/MUTCD_W11-2_BICYCLE_CROSSING.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#129,A BICYCLE CROSSING warning sign indicates:,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0044,SIGNS,MUTCD_W14-1_TRUCK_CROSSING,app/src/main/assets/svg/MUTCD_W14-1_TRUCK_CROSSING.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#130,What does a TRUCK CROSSING warning sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0045,SIGNS,MUTCD_W14-2_FARM_EQUIPMENT,app/src/main/assets/svg/MUTCD_W14-2_FARM_EQUIPMENT.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#131,A FARM EQUIPMENT warning sign is most likely to be found:,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0046,SIGNS,MUTCD_S1-1_SCHOOL_CROSSING,app/src/main/assets/svg/MUTCD_S1-1_SCHOOL_CROSSING.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part7/part7b.htm,#124,What does a SCHOOL CROSSING warning sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0047,SIGNS,MUTCD_W16-2_SLIPPERY_WHEN_WET,app/src/main/assets/svg/MUTCD_W16-2_SLIPPERY_WHEN_WET.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#132,What does a SLIPPERY WHEN WET warning sign mean?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0048,SIGNS,MUTCD_W20-1_ROAD_CONSTRUCTION,app/src/main/assets/svg/MUTCD_W20-1_ROAD_CONSTRUCTION.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#136,What does a ROAD CONSTRUCTION warning sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0049,SIGNS,MUTCD_W20-7_FLAGGER_AHEAD,app/src/main/assets/svg/MUTCD_W20-7_FLAGGER_AHEAD.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#137,A FLAGGER AHEAD sign warns that:,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0061,SIGNS,MUTCD_I-5_INTERSTATE_35,app/src/main/assets/svg/MUTCD_I-5_INTERSTATE_35.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2d.htm,#101,What does an Interstate highway sign look like?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0062,SIGNS,MUTCD_I-5_INTERSTATE_10,app/src/main/assets/svg/MUTCD_I-5_INTERSTATE_10.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2d.htm,#100,What does Interstate 10 signage indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0063,SIGNS,MUTCD_M1-1_US_ROUTE_90,app/src/main/assets/svg/MUTCD_M1-1_US_ROUTE_90.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2d.htm,#102,What shape is a US Route highway sign?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0064,SIGNS,MUTCD_M1-4_STATE_ROUTE_71,app/src/main/assets/svg/MUTCD_M1-4_STATE_ROUTE_71.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2d.htm,#103,What does a State Route marker indicate in Texas?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0065,SIGNS,MUTCD_D1-1_EXIT_SIGN,app/src/main/assets/svg/MUTCD_D1-1_EXIT_SIGN.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2d.htm,#95,What does an EXIT sign on a highway indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0066,SIGNS,MUTCD_D3-1_DISTANCE_SIGN,app/src/main/assets/svg/MUTCD_D3-1_DISTANCE_SIGN.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2d.htm,#96,What information does a DISTANCE sign typically provide?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0067,SIGNS,MUTCD_D9-1_REST_AREA,app/src/main/assets/svg/MUTCD_D9-1_REST_AREA.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2d.htm,#97,What does a REST AREA sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0068,SIGNS,MUTCD_D9-2_HOSPITAL,app/src/main/assets/svg/MUTCD_D9-2_HOSPITAL.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2d.htm,#98,What does a HOSPITAL sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0069,SIGNS,MUTCD_D9-3_GAS_STATION,app/src/main/assets/svg/MUTCD_D9-3_GAS_STATION.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2d.htm,#99,What does a GAS STATION service sign indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0081,SIGNS,MUTCD_OM1-1_KEEP_RIGHT,app/src/main/assets/svg/MUTCD_OM1-1_KEEP_RIGHT.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#104,What does a KEEP RIGHT sign in the center of a roadway indicate?,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
TX-SIG-0082,SIGNS,MUTCD_OM2-1_KEEP_LEFT,app/src/main/assets/svg/MUTCD_OM2-1_KEEP_LEFT.svg,PASS,BLOCK,P2,https://mutcd.fhwa.dot.gov/htm/2009/part2/part2c.htm,#105,A KEEP LEFT sign would typically appear:,Reference alignment issue is open for this asset (canonical geometry/typography pending).,"Compare against MUTCD reference and align geometry, border ratios, and symbol/text proportions."
