question_id,asset_id,topic,alignment_score,ambiguity_score,issue_type,severity,user_impact,proposed_fix
TX-PRK-0001,PARKING_FIRE_HYDRANT_15FT,PARKING,5,5,none,PASS,,
TX-PRK-0018,MUTCD_R8-3a_NO_PARKING_ANYTIME,PARKING,3,5,potential_mismatch,P2,,
TX-PRK-0020,MUTCD_R7-8_NO_PARKING,PARKING,5,5,none,PASS,,
TX-PRK-0023,PARKING_PARALLEL_STEPS,PARKING,5,5,none,PASS,,
TX-PRK-0031,PARKING_HILL_UPHILL_CURB,PARKING,5,5,none,PASS,,
TX-PRK-0032,PARKING_HILL_DOWNHILL_CURB,PARKING,5,5,none,PASS,,
TX-PRK-0041,PARKING_DISABLED_SPACE,PARKING,5,5,none,PASS,,
TX-PRK-0048,MUTCD_R7-107_HANDICAPPED_PARKING,PARKING,5,5,none,PASS,,
TX-PRK-0050,PAVEMENT_HANDICAP_SYMBOL,PARKING,5,5,none,PASS,,
TX-PAV-0001,PAVEMENT_SOLID_WHITE_LINE,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0002,PAVEMENT_DASHED_WHITE_LINE,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0003,PAVEMENT_DOUBLE_YELLOW_SOLID,PAVEMENT_MARKINGS,3,5,potential_mismatch,P2,,
TX-PAV-0005,PAVEMENT_SINGLE_YELLOW_DASHED,PAVEMENT_MARKINGS,3,5,potential_mismatch,P2,,
TX-PAV-0006,PAVEMENT_DOUBLE_YELLOW_MIXED,PAVEMENT_MARKINGS,3,5,potential_mismatch,P2,,
TX-PAV-0026,PAVEMENT_ARROW_LEFT,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0027,PAVEMENT_ARROW_STRAIGHT,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0028,PAVEMENT_ONLY_TEXT,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0029,PAVEMENT_CROSSWALK_ZEBRA,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0030,PAVEMENT_STOP_LINE,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0031,PAVEMENT_YIELD_LINE,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0032,PAVEMENT_ARROW_RIGHT,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0033,PAVEMENT_ARROW_LEFT_STRAIGHT,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0038,PAVEMENT_SCHOOL_ZONE,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0040,PAVEMENT_NO_PASSING_ZONE,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0041,PAVEMENT_ARROW_RIGHT_STRAIGHT,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0061,PAVEMENT_BIKE_LANE,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0062,PAVEMENT_HOV_DIAMOND,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0063,PAVEMENT_SHARROW,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0064,PAVEMENT_TURN_LANE_CENTER,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0065,PAVEMENT_RAILROAD_CROSSING_X,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-PAV-0067,PAVEMENT_HANDICAP_SYMBOL,PAVEMENT_MARKINGS,5,5,none,PASS,,
TX-ROW-0001,INTERSECTION_4WAY_STOP,RIGHT_OF_WAY,5,5,none,PASS,,
TX-ROW-0003,INTERSECTION_UNCONTROLLED,RIGHT_OF_WAY,3,5,potential_mismatch,P2,,
TX-ROW-0005,INTERSECTION_T_STOP,RIGHT_OF_WAY,5,5,none,PASS,,
TX-ROW-0006,INTERSECTION_ROUNDABOUT,RIGHT_OF_WAY,5,5,none,PASS,,
TX-ROW-0007,MUTCD_R1-1_STOP,RIGHT_OF_WAY,5,5,none,PASS,,
TX-ROW-0011,MUTCD_R1-2_YIELD,RIGHT_OF_WAY,5,5,none,PASS,,
TX-ROW-0031,INTERSECTION_PEDESTRIAN_CROSSWALK,RIGHT_OF_WAY,5,5,none,PASS,,
TX-ROW-0049,MUTCD_W11-1_PEDESTRIAN_CROSSING,RIGHT_OF_WAY,5,5,none,PASS,,
TX-ROW-0052,MUTCD_W11-2_BICYCLE_CROSSING,RIGHT_OF_WAY,5,5,none,PASS,,
TX-ROW-0061,INTERSECTION_EMERGENCY_VEHICLE,RIGHT_OF_WAY,3,5,potential_mismatch,P2,,
TX-ROW-0064,INTERSECTION_SCHOOL_BUS_STOPPED,RIGHT_OF_WAY,3,5,potential_mismatch,P2,,
TX-ROW-0082,INTERSECTION_MERGE_HIGHWAY,RIGHT_OF_WAY,5,5,none,PASS,,
TX-ROW-0088,MUTCD_W3-1_MERGE,RIGHT_OF_WAY,5,5,none,PASS,,
TX-ROW-0117,MUTCD_R10-6_ONE_WAY,RIGHT_OF_WAY,5,5,none,PASS,,
TX-SAF-0001,SAFE_DEFENSIVE_SPACE_CUSHION,SAFE_DRIVING,5,5,none,PASS,,
TX-SAF-0003,SPEED_FOLLOWING_DISTANCE_3SEC,SAFE_DRIVING,5,5,none,PASS,,
TX-SAF-0005,SAFE_BLIND_SPOT_CHECK,SAFE_DRIVING,5,5,none,PASS,,
TX-SAF-0066,SAFE_TIRE_TREAD_DEPTH,SAFE_DRIVING,3,5,potential_mismatch,P2,,
TX-SAF-0071,SAFE_MIRROR_ADJUSTMENT,SAFE_DRIVING,5,5,none,PASS,,
TX-SIG-0001,MUTCD_R1-1_STOP,SIGNS,5,5,none,PASS,,
TX-SIG-0002,MUTCD_R1-2_YIELD,SIGNS,5,5,none,PASS,,
TX-SIG-0003,MUTCD_R1-2_YIELD,SIGNS,5,5,none,PASS,,
TX-SIG-0004,MUTCD_R2-1_SPEED_LIMIT_65,SIGNS,5,5,none,PASS,,
TX-SIG-0005,MUTCD_R5-1_DO_NOT_ENTER,SIGNS,5,5,none,PASS,,
TX-SIG-0006,MUTCD_R5-1a_WRONG_WAY,SIGNS,5,5,none,PASS,,
TX-SIG-0007,MUTCD_R3-1_NO_LEFT_TURN,SIGNS,5,5,none,PASS,,
TX-SIG-0008,MUTCD_R3-2_NO_RIGHT_TURN,SIGNS,5,5,none,PASS,,
TX-SIG-0009,MUTCD_R3-3_NO_U_TURN,SIGNS,5,5,none,PASS,,
TX-SIG-0010,MUTCD_R8-3a_NO_PARKING_ANYTIME,SIGNS,5,5,none,PASS,,
TX-SIG-0011,MUTCD_R10-6_ONE_WAY,SIGNS,5,5,none,PASS,,
TX-SIG-0012,MUTCD_R10-7_DO_NOT_PASS,SIGNS,5,5,none,PASS,,
TX-SIG-0013,MUTCD_R15-1_RAILROAD_CROSSING,SIGNS,5,5,none,PASS,,
TX-SIG-0014,MUTCD_R3-4_NO_TRUCKS,SIGNS,5,5,none,PASS,,
TX-SIG-0015,MUTCD_R4-7_KEEP_RIGHT,SIGNS,5,5,none,PASS,,
TX-SIG-0016,MUTCD_R6-1_LEFT_TURN_ONLY,SIGNS,5,5,none,PASS,,
TX-SIG-0017,MUTCD_R6-2_RIGHT_TURN_ONLY,SIGNS,2,5,mismatch,P1,,
TX-SIG-0018,MUTCD_R7-107_HANDICAPPED_PARKING,SIGNS,5,5,none,PASS,,
TX-SIG-0021,MUTCD_R2-1_SPEED_LIMIT_70,SIGNS,5,5,none,PASS,,
TX-SIG-0022,MUTCD_S4-3_SCHOOL_SPEED_LIMIT_20,SIGNS,5,5,none,PASS,,
TX-SIG-0025,MUTCD_R7-8_NO_PARKING,SIGNS,5,5,none,PASS,,
TX-SIG-0027,MUTCD_R2-1_SPEED_LIMIT_30,SIGNS,5,5,none,PASS,,
TX-SIG-0033,MUTCD_W1-1_CURVE_RIGHT,SIGNS,5,5,none,PASS,,
TX-SIG-0034,MUTCD_W1-2_CURVE_LEFT,SIGNS,5,5,none,PASS,,
TX-SIG-0035,MUTCD_W1-6_WINDING_ROAD,SIGNS,5,5,none,PASS,,
TX-SIG-0036,MUTCD_W2-1_SIDE_ROAD,SIGNS,5,5,none,PASS,,
TX-SIG-0037,MUTCD_W2-2_Y_INTERSECTION,SIGNS,5,5,none,PASS,,
TX-SIG-0038,MUTCD_W2-3_T_INTERSECTION,SIGNS,5,5,none,PASS,,
TX-SIG-0039,MUTCD_W3-1_MERGE,SIGNS,5,5,none,PASS,,
TX-SIG-0040,MUTCD_W4-2_LANE_ENDS_MERGE,SIGNS,2,5,mismatch,P1,,
TX-SIG-0041,MUTCD_W8-1_HILL,SIGNS,5,5,none,PASS,,
TX-SIG-0042,MUTCD_W11-1_PEDESTRIAN_CROSSING,SIGNS,5,5,none,PASS,,
TX-SIG-0043,MUTCD_W11-2_BICYCLE_CROSSING,SIGNS,5,5,none,PASS,,
TX-SIG-0044,MUTCD_W14-1_TRUCK_CROSSING,SIGNS,5,5,none,PASS,,
TX-SIG-0045,MUTCD_W14-2_FARM_EQUIPMENT,SIGNS,5,5,none,PASS,,
TX-SIG-0046,MUTCD_S1-1_SCHOOL_CROSSING,SIGNS,5,5,none,PASS,,
TX-SIG-0047,MUTCD_W16-2_SLIPPERY_WHEN_WET,SIGNS,5,5,none,PASS,,
TX-SIG-0048,MUTCD_W20-1_ROAD_CONSTRUCTION,SIGNS,5,5,none,PASS,,
TX-SIG-0049,MUTCD_W20-7_FLAGGER_AHEAD,SIGNS,5,5,none,PASS,,
TX-SIG-0061,MUTCD_I-5_INTERSTATE_35,SIGNS,5,5,none,PASS,,
TX-SIG-0062,MUTCD_I-5_INTERSTATE_10,SIGNS,5,5,none,PASS,,
TX-SIG-0063,MUTCD_M1-1_US_ROUTE_90,SIGNS,5,5,none,PASS,,
TX-SIG-0064,MUTCD_M1-4_STATE_ROUTE_71,SIGNS,5,5,none,PASS,,
TX-SIG-0065,MUTCD_D1-1_EXIT_SIGN,SIGNS,5,5,none,PASS,,
TX-SIG-0066,MUTCD_D3-1_DISTANCE_SIGN,SIGNS,5,5,none,PASS,,
TX-SIG-0067,MUTCD_D9-1_REST_AREA,SIGNS,5,5,none,PASS,,
TX-SIG-0068,MUTCD_D9-2_HOSPITAL,SIGNS,5,5,none,PASS,,
TX-SIG-0069,MUTCD_D9-3_GAS_STATION,SIGNS,5,5,none,PASS,,
TX-SIG-0081,MUTCD_OM1-1_KEEP_RIGHT,SIGNS,5,5,none,PASS,,
TX-SIG-0082,MUTCD_OM2-1_KEEP_LEFT,SIGNS,5,5,none,PASS,,
TX-SPC-0001,INTERSECTION_SCHOOL_BUS_STOPPED,SPECIAL_SITUATIONS,3,5,potential_mismatch,P2,,
TX-SPC-0004,MUTCD_S4-3_SCHOOL_SPEED_LIMIT_20,SPECIAL_SITUATIONS,3,5,potential_mismatch,P2,,
TX-SPC-0007,MUTCD_S1-1_SCHOOL_CROSSING,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPC-0012,PAVEMENT_SCHOOL_ZONE,SPECIAL_SITUATIONS,3,5,potential_mismatch,P2,,
TX-SPC-0016,SPECIAL_RAILROAD_STOP_PROCEDURE,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPC-0017,MUTCD_R15-1_RAILROAD_CROSSING,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPC-0020,MUTCD_R15-1_RAILROAD_CROSSING,SPECIAL_SITUATIONS,3,5,potential_mismatch,P2,,
TX-SPC-0027,PAVEMENT_RAILROAD_CROSSING_X,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPC-0031,MUTCD_W20-1_ROAD_CONSTRUCTION,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPC-0033,SPECIAL_WORK_ZONE_FLAGGER,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPC-0034,INTERSECTION_EMERGENCY_VEHICLE,SPECIAL_SITUATIONS,3,5,potential_mismatch,P2,,
TX-SPC-0042,MUTCD_W20-7_FLAGGER_AHEAD,SPECIAL_SITUATIONS,5,5,none,PASS,,
TX-SPD-0001,SPEED_SCHOOL_ZONE_20MPH,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0002,SPEED_LIMIT_RESIDENTIAL_30,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0017,MUTCD_R2-1_SPEED_LIMIT_70,SPEED_AND_DISTANCE,3,5,potential_mismatch,P2,,
TX-SPD-0022,MUTCD_S4-3_SCHOOL_SPEED_LIMIT_20,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0030,MUTCD_R2-1_SPEED_LIMIT_65,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0031,SPEED_FOLLOWING_DISTANCE_3SEC,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0056,SPEED_STOPPING_DISTANCE,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0076,SPEED_PASSING_CLEARANCE,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-SPD-0080,MUTCD_R10-7_DO_NOT_PASS,SPEED_AND_DISTANCE,5,5,none,PASS,,
TX-TRA-0001,SIGNAL_SOLID_RED,TRAFFIC_SIGNALS,5,5,none,PASS,,
TX-TRA-0002,SIGNAL_SOLID_GREEN,TRAFFIC_SIGNALS,5,5,none,PASS,,
TX-TRA-0003,SIGNAL_SOLID_YELLOW,TRAFFIC_SIGNALS,5,5,none,PASS,,
TX-TRA-0009,SIGNAL_RED_YELLOW_TOGETHER,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0021,SIGNAL_GREEN_ARROW_LEFT,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0022,SIGNAL_GREEN_ARROW_LEFT,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0023,SIGNAL_YELLOW_ARROW_LEFT,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0024,SIGNAL_RED_ARROW_LEFT,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0028,SIGNAL_RED_ARROW_LEFT,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0035,SIGNAL_GREEN_ARROW_RIGHT,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0041,SIGNAL_FLASHING_RED,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0042,SIGNAL_FLASHING_YELLOW,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0051,SIGNAL_PED_WALK,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0052,SIGNAL_PED_DONT_WALK,TRAFFIC_SIGNALS,2,5,mismatch,P1,,
TX-TRA-0055,SIGNAL_PED_COUNTDOWN,TRAFFIC_SIGNALS,5,5,none,PASS,,
